created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2023-09-28 16:56:51 UTC,109975,0,0,,,,,
2023-09-28 16:57:51 UTC,109976,0,0,,,,,
2023-09-28 16:58:51 UTC,109977,1.8,1616.0180400000004,,,,,
2023-09-28 16:59:51 UTC,109978,3.6,12928.144320000003,,,,,
2023-09-28 17:00:06 UTC,110003,,,24.701,1.155,17.846,28.529655,440.814046
2023-09-28 17:15:06 UTC,110004,,,24.471,1.138,8.358,27.847997999999997,204.52861800000002
2023-09-28 17:30:06 UTC,110005,,,24.372,1.147,2.339,27.954684,57.006108
2023-09-28 17:40:51 UTC,109983,4.2,20529.414360000002,,,,,
2023-09-28 17:41:51 UTC,109984,4.4,23604.06048000001,,,,,
2023-09-28 17:42:51 UTC,109985,2.8,6082.78944,,,,,
2023-09-28 17:43:51 UTC,109986,3.1,8254.937145000002,,,,,
2023-09-28 17:44:51 UTC,109987,1,277.095,,,,,
2023-09-28 17:45:06 UTC,110006,,,24.403,1.133,11.357,27.648598999999997,277.14487099999997
2023-09-28 17:45:51 UTC,109988,0.4,17.734080000000006,,,,,
2023-09-28 17:46:51 UTC,109989,1.6,1134.9811200000004,,,,,
2023-09-28 17:47:51 UTC,109990,1.1,368.8134450000002,,,,,
2023-09-28 17:48:51 UTC,109991,1.7,1361.367735,,,,,
2023-09-28 17:49:51 UTC,109992,3.1,8254.937145000002,,,,,
2023-09-28 17:50:51 UTC,109993,1.9,1900.594605,,,,,
2023-09-28 17:51:51 UTC,109994,0.9,202.00225500000005,,,,,
2023-09-28 17:52:51 UTC,109995,0.2,2.2167600000000007,,,,,
2023-09-28 17:53:51 UTC,109996,2.2,2950.5075600000014,,,,,
2023-09-28 17:54:51 UTC,109997,2.9,6758.069955,,,,,
2023-09-28 17:55:51 UTC,109998,2.9,6758.069955,,,,,
2023-09-28 17:56:51 UTC,109999,0,0,,,,,
2023-09-28 17:57:51 UTC,110000,0.5,34.636875,,,,,
2023-09-28 17:58:51 UTC,110001,1.2,478.82016,,,,,
2023-09-28 17:59:51 UTC,110002,1.7,1361.367735,,,,,
2023-09-28 18:00:06 UTC,110027,,,24.339,1.15,7.619,27.989849999999997,185.438841
2023-09-28 18:15:05 UTC,110028,,,24.492,1.142,4.954,27.969863999999998,121.333368
2023-09-28 18:30:05 UTC,110029,,,24.551,1.13,5.283,27.742629999999995,129.702933
2023-09-28 18:40:52 UTC,110007,1.7,1361.367735,,,,,
2023-09-28 18:41:52 UTC,110008,1.2,478.82016,,,,,
2023-09-28 18:42:52 UTC,110009,0.6,59.85252,,,,,
2023-09-28 18:43:52 UTC,110010,2.5,4329.609375,,,,,
2023-09-28 18:44:52 UTC,110011,0.8,141.87264000000005,,,,,
2023-09-28 18:45:06 UTC,110030,,,24.362,1.123,9.937,27.358525999999998,242.08519399999997
2023-09-28 18:45:52 UTC,110012,1.2,478.82016,,,,,
2023-09-28 18:46:52 UTC,110013,0,0,,,,,
2023-09-28 18:47:52 UTC,110014,0.3,7.481565,,,,,
2023-09-28 18:48:52 UTC,110015,0.5,34.636875,,,,,
2023-09-28 18:49:52 UTC,110016,1.7,1361.367735,,,,,
2023-09-28 18:50:52 UTC,110017,0.6,59.85252,,,,,
2023-09-28 18:51:52 UTC,110018,3.1,8254.937145000002,,,,,
2023-09-28 18:52:52 UTC,110019,2.9,6758.069955,,,,,
2023-09-28 18:53:52 UTC,110020,4.1,19097.664494999997,,,,,
2023-09-28 18:54:52 UTC,110021,2.3,3371.4148649999997,,,,,
2023-09-28 18:55:52 UTC,110022,2.8,6082.78944,,,,,
2023-09-28 18:56:52 UTC,110023,1.7,1361.367735,,,,,
2023-09-28 18:57:52 UTC,110024,0.5,34.636875,,,,,
2023-09-28 18:58:52 UTC,110025,1.3,608.7777150000001,,,,,
2023-09-28 18:59:52 UTC,110026,2.4,3830.56128,,,,,
2023-09-28 19:00:05 UTC,110051,,,24.405,1.13,9.777,27.57765,238.607685
2023-09-28 19:15:06 UTC,110052,,,24.481,1.126,6.666,27.565606,163.19034600000003
2023-09-28 19:30:05 UTC,110053,,,24.483,1.122,9.163,27.469926000000005,224.33772900000002
2023-09-28 19:40:52 UTC,110031,1.9,1900.594605,,,,,
2023-09-28 19:41:52 UTC,110032,1.9,1900.594605,,,,,
2023-09-28 19:42:52 UTC,110033,3.6,12928.144320000003,,,,,
2023-09-28 19:43:52 UTC,110034,3.1,8254.937145000002,,,,,
2023-09-28 19:44:52 UTC,110035,0.4,17.734080000000006,,,,,
2023-09-28 19:45:06 UTC,110054,,,24.687,1.133,14.567,27.970371,359.61552900000004
2023-09-28 19:45:52 UTC,110036,0.5,34.636875,,,,,
2023-09-28 19:46:52 UTC,110037,3.6,12928.144320000003,,,,,
2023-09-28 19:47:52 UTC,110038,2.8,6082.78944,,,,,
2023-09-28 19:48:52 UTC,110039,0.7,95.043585,,,,,
2023-09-28 19:49:52 UTC,110040,0.5,34.636875,,,,,
2023-09-28 19:50:52 UTC,110041,1.8,1616.0180400000004,,,,,
2023-09-28 19:51:52 UTC,110042,0,0,,,,,
2023-09-28 19:52:52 UTC,110043,0.7,95.043585,,,,,
2023-09-28 19:53:52 UTC,110044,2.6,4870.2217200000005,,,,,
2023-09-28 19:54:52 UTC,110045,2.6,4870.2217200000005,,,,,
2023-09-28 19:55:52 UTC,110046,1.5,935.1956250000001,,,,,
2023-09-28 19:56:52 UTC,110047,2.6,4870.2217200000005,,,,,
2023-09-28 19:57:52 UTC,110048,2,2216.76,,,,,
2023-09-28 19:58:52 UTC,110049,2.9,6758.069955,,,,,
2023-09-28 19:59:52 UTC,110050,2.1,2566.1767950000003,,,,,
2023-09-28 20:00:06 UTC,110075,,,24.624,1.183,15.051,29.130192,370.615824
2023-09-28 20:15:05 UTC,110076,,,24.424,2.411,11.336,58.886264,276.870464
2023-09-28 20:30:06 UTC,110077,,,24.531,5.67,7.383,139.09077,181.112373
2023-09-28 20:40:52 UTC,110055,2.2,2950.5075600000014,,,,,
2023-09-28 20:41:52 UTC,110056,2.3,3371.4148649999997,,,,,
2023-09-28 20:42:52 UTC,110057,1.2,478.82016,,,,,
2023-09-28 20:43:52 UTC,110058,2.9,6758.069955,,,,,
2023-09-28 20:44:52 UTC,110059,3.2,9079.848960000003,,,,,
2023-09-28 20:45:06 UTC,110078,,,24.801,11.898,7.492,295.082298,185.809092
2023-09-28 20:45:52 UTC,110060,1.4,760.34868,,,,,
2023-09-28 20:46:52 UTC,110061,1.7,1361.367735,,,,,
